dataset,M2a,M1,M2c,M2b
SRP301469,-1.91711878462641,1.57793684651007,1.54857550294255,1.34128019186817
SRP345877,,0.484972124841897,-0.835607631498404,
SRP369109,,-1.25240546598852,1.09580517904843,
SRP484543,,-1.23820271198342,0.99761792287858,
lab_data,,-1.25345828531644,-1.10491665395749,
