pathway,pval,padj,log2err,ES,NES,size,leadingEdge
M1,0.982178217821782,0.982178217821782,0.0460457683018055,0.33394828587397,0.484972124841897,2,AI837181|BC049715
M2c,0.744466800804829,0.982178217821782,0.0596037042575973,-0.571438890494077,-0.835607631498404,2,AA986860|AI661453
