pathway,pval,padj,log2err,ES,NES,size,leadingEdge
M2a,7.11120351970492e-08,2.84448140788197e-07,0.704975715167238,-0.502223867565617,-1.91711878462641,179,ATP6V0D2|IL11RA1|PLXND1|EGR2|BEX1|DNMT3A|DCLK1|PPARG|ANXA1|AK8|RRAS2|NES|RYR1|SLC39A10|SARDH|ATG7|SGMS1|VEGFC|CCDC88A|P2RY1|ZBTB7C|RTKN|CD300LB|TACC2|TMEM158|HR|AHNAK|GRIPAP1|CMBL|BCAT1|VWF|YPEL2|MYO9A|FLNC|FAM78B|ZFP874A|LAT|CD200R3|CAST|RASSF8|ARL6IP5|BTBD17|IDH3G|ACAA2|GFRA2|CSRNP2|EAR2|HEBP2|MTF2|LMNA|RBPMS2|TPCN2|TTC3|SLC1A5|PGRMC1|IRF4|OIT3|NCS1
M1,0.000572159758772448,0.0011443195175449,0.477270815362862,0.428678671064097,1.57793684651007,167,PID1|ABCG3|MARCKSL1|PILRB1|EHD1|STX2|CCND3|ARPC3|RHOBTB1|BANK1|PILRB2|BID|RALB|4930486L24RIK|ARHGEF7|EBI3|SLC2A9|UAP1|ARL6IP1|PSIP1|FBXL4|MED28|BCL2L1|DR1|PFN1|BAD|HUS1|ANP32A|CMTM7|FCER1G|CD300E|ARHGAP30|DPCD|SNX20|CDCA7L|VRK2|ARPC2|UBE2Q1|TBKBP1|NFU1|MPPE1
M2c,0.00140737095917113,0.00187649461222817,0.45505986738723,0.423586478068533,1.54857550294255,162,F13A1|AFAP1L1|MID1IP1|CD28|KANK2|ALOX5|CAMK1|NCAPG2|NME4|FAM167B|TGFBR2|AP1S2|ITGA6|NRP1|COMMD8|ADCY3|CEP78|CALML4|ARHGAP18|RAB31|ARAP3|ANKRD28|LBP|ABL1|SPP1|AGFG2|ATRN|BEND4|2900026A02RIK|SEMA6B|CUX1|WDFY3|B3GALNT1|CAB39|APBB1IP|ASRGL1
M2b,0.108651911468813,0.108651911468813,0.191892240384838,0.555325560748271,1.34128019186817,17,BRCA1|CDT1|SQLE|TLR5|DNMT1|HSD17B7
